artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Lenny Kravitz,American Woman,0.669,0.698,1,-7.971,1,0.0713,0.0243,0,0.0782,0.6,83.987,audio_features,2BdSaGVMxZzEeJYjjrlo6n,spotify:track:2BdSaGVMxZzEeJYjjrlo6n,https://api.spotify.com/v1/tracks/2BdSaGVMxZzEeJYjjrlo6n,https://api.spotify.com/v1/audio-analysis/2BdSaGVMxZzEeJYjjrlo6n,261707,4
Kenny Loggins,Danger Zone,0.554,0.877,3,-7.655,0,0.0382,0.192,0,0.132,0.732,157.087,audio_features,1GYYqJlTVKrz6NUMbokAYm,spotify:track:1GYYqJlTVKrz6NUMbokAYm,https://api.spotify.com/v1/tracks/1GYYqJlTVKrz6NUMbokAYm,https://api.spotify.com/v1/audio-analysis/1GYYqJlTVKrz6NUMbokAYm,216133,4
The Romantics,What I Like About You,0.514,0.942,9,-8.433,1,0.0502,0.282,6.6e-05,0.17,0.912,159.847,audio_features,4ebcE2SmkG7nplvzFAWRu7,spotify:track:4ebcE2SmkG7nplvzFAWRu7,https://api.spotify.com/v1/tracks/4ebcE2SmkG7nplvzFAWRu7,https://api.spotify.com/v1/audio-analysis/4ebcE2SmkG7nplvzFAWRu7,175267,4
Avicii,The Nights,0.527,0.835,6,-5.298,1,0.0433,0.0166,0,0.249,0.654,125.983,audio_features,0ct6r3EGTcMLPtrXHDvVjc,spotify:track:0ct6r3EGTcMLPtrXHDvVjc,https://api.spotify.com/v1/tracks/0ct6r3EGTcMLPtrXHDvVjc,https://api.spotify.com/v1/audio-analysis/0ct6r3EGTcMLPtrXHDvVjc,176658,4
Olly Murs,Troublemaker (feat. Flo Rida),0.762,0.857,0,-3.574,0,0.056,0.0195,0,0.182,0.967,105.989,audio_features,6MiqdbagcOqDMxhovDOIpF,spotify:track:6MiqdbagcOqDMxhovDOIpF,https://api.spotify.com/v1/tracks/6MiqdbagcOqDMxhovDOIpF,https://api.spotify.com/v1/audio-analysis/6MiqdbagcOqDMxhovDOIpF,186600,4
September,Cry For You,0.773,0.88,9,-3.587,1,0.0307,0.00142,9.21e-05,0.0586,0.957,130.024,audio_features,5Xpnq4yeofsvWPSFC9rvuP,spotify:track:5Xpnq4yeofsvWPSFC9rvuP,https://api.spotify.com/v1/tracks/5Xpnq4yeofsvWPSFC9rvuP,https://api.spotify.com/v1/audio-analysis/5Xpnq4yeofsvWPSFC9rvuP,209800,4
Maroon 5,Payphone,0.74,0.749,4,-4.83,1,0.0405,0.0195,0,0.282,0.522,110.007,audio_features,5FaD4vvtJ1LTj8nS2LndyU,spotify:track:5FaD4vvtJ1LTj8nS2LndyU,https://api.spotify.com/v1/tracks/5FaD4vvtJ1LTj8nS2LndyU,https://api.spotify.com/v1/audio-analysis/5FaD4vvtJ1LTj8nS2LndyU,231467,4
Crazy Town,Butterfly,0.739,0.791,9,-4.796,0,0.0831,0.00144,0.000157,0.115,0.631,103.494,audio_features,1GakyY5lyvZGZXZYkk3FjS,spotify:track:1GakyY5lyvZGZXZYkk3FjS,https://api.spotify.com/v1/tracks/1GakyY5lyvZGZXZYkk3FjS,https://api.spotify.com/v1/audio-analysis/1GakyY5lyvZGZXZYkk3FjS,215800,4
blink-182,What's My Age Again?,0.398,0.954,6,-7.373,1,0.0715,0.0133,0.000218,0.0891,0.433,157.766,audio_features,1hWrl3T1kIH5b9zRHLfCOn,spotify:track:1hWrl3T1kIH5b9zRHLfCOn,https://api.spotify.com/v1/tracks/1hWrl3T1kIH5b9zRHLfCOn,https://api.spotify.com/v1/audio-analysis/1hWrl3T1kIH5b9zRHLfCOn,148573,4
R.I.O.,Miss Sunshine - Radio Edit,0.681,0.924,6,-7.387,1,0.0621,0.0433,0,0.123,0.746,129.964,audio_features,4HnegxtkZmlj6qSJLY2et2,spotify:track:4HnegxtkZmlj6qSJLY2et2,https://api.spotify.com/v1/tracks/4HnegxtkZmlj6qSJLY2et2,https://api.spotify.com/v1/audio-analysis/4HnegxtkZmlj6qSJLY2et2,202997,4
R.I.O.,Summer Jam (feat. U-Jean) - Video Edit,0.747,0.716,1,-5.152,0,0.0308,0.0828,7.59e-06,0.0773,0.849,128.001,audio_features,3j8E3GsFWFwJJUq2Hhv1u7,spotify:track:3j8E3GsFWFwJJUq2Hhv1u7,https://api.spotify.com/v1/tracks/3j8E3GsFWFwJJUq2Hhv1u7,https://api.spotify.com/v1/audio-analysis/3j8E3GsFWFwJJUq2Hhv1u7,182657,4
David Guetta,Crank It Up (feat. Akon),0.725,0.879,11,-3.336,0,0.0551,0.0119,3.5e-05,0.367,0.638,128.03,audio_features,4PQA5I8Qf99He3SBKtl4Tf,spotify:track:4PQA5I8Qf99He3SBKtl4Tf,https://api.spotify.com/v1/tracks/4PQA5I8Qf99He3SBKtl4Tf,https://api.spotify.com/v1/audio-analysis/4PQA5I8Qf99He3SBKtl4Tf,192667,4
Flo Rida,Run (feat. RedFoo of LMFAO) - Bonus Track,0.78,0.693,7,-4.453,1,0.225,0.00102,0,0.111,0.629,129.951,audio_features,2GWpc4r9gvF9YLEWYJPzLA,spotify:track:2GWpc4r9gvF9YLEWYJPzLA,https://api.spotify.com/v1/tracks/2GWpc4r9gvF9YLEWYJPzLA,https://api.spotify.com/v1/audio-analysis/2GWpc4r9gvF9YLEWYJPzLA,232093,4
Far East Movement,Like A G6 - RedOne Remix,0.698,0.876,7,-4.115,1,0.0475,0.000151,0.000173,0.316,0.817,124.991,audio_features,2nOcG6Cv1gPq8NYiD41tk2,spotify:track:2nOcG6Cv1gPq8NYiD41tk2,https://api.spotify.com/v1/tracks/2nOcG6Cv1gPq8NYiD41tk2,https://api.spotify.com/v1/audio-analysis/2nOcG6Cv1gPq8NYiD41tk2,280560,4
Mac Miller,Loud,0.649,0.822,1,-5.8,1,0.0398,0.00258,3.83e-05,0.362,0.201,140.026,audio_features,5aQmsZCESbhasWW5VARdS8,spotify:track:5aQmsZCESbhasWW5VARdS8,https://api.spotify.com/v1/tracks/5aQmsZCESbhasWW5VARdS8,https://api.spotify.com/v1/audio-analysis/5aQmsZCESbhasWW5VARdS8,171149,4
Rihanna,Right Now - Ralphi Rosario Radio Edit,0.707,0.868,3,-3.648,0,0.0632,0.0194,8.05e-05,0.227,0.148,129.969,audio_features,3Qq7zFuBjiQFmQ8wz55CdJ,spotify:track:3Qq7zFuBjiQFmQ8wz55CdJ,https://api.spotify.com/v1/tracks/3Qq7zFuBjiQFmQ8wz55CdJ,https://api.spotify.com/v1/audio-analysis/3Qq7zFuBjiQFmQ8wz55CdJ,228307,4
DJ Khaled,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",0.549,0.791,10,-3.535,1,0.133,0.0104,0,0.444,0.292,150.093,audio_features,6u5M4jPpYkoRV4vVHDQvkd,spotify:track:6u5M4jPpYkoRV4vVHDQvkd,https://api.spotify.com/v1/tracks/6u5M4jPpYkoRV4vVHDQvkd,https://api.spotify.com/v1/audio-analysis/6u5M4jPpYkoRV4vVHDQvkd,227293,4
DJ Snake,Turn Down for What,0.818,0.799,1,-4.1,0,0.156,0.00107,0.128,0.057,0.0815,100.014,audio_features,67awxiNHNyjMXhVgsHuIrs,spotify:track:67awxiNHNyjMXhVgsHuIrs,https://api.spotify.com/v1/tracks/67awxiNHNyjMXhVgsHuIrs,https://api.spotify.com/v1/audio-analysis/67awxiNHNyjMXhVgsHuIrs,213733,4
Jeremih,Don't Tell 'Em,0.854,0.537,2,-5.223,1,0.0761,0.547,1.19e-06,0.133,0.341,98.037,audio_features,5rph5sObvxskRcb1JLV70r,spotify:track:5rph5sObvxskRcb1JLV70r,https://api.spotify.com/v1/tracks/5rph5sObvxskRcb1JLV70r,https://api.spotify.com/v1/audio-analysis/5rph5sObvxskRcb1JLV70r,268453,4
deadmau5,Ghosts 'n' Stuff (feat. Rob Swire),0.611,0.613,8,-6.942,1,0.129,4.73e-05,0.105,0.159,0.491,127.979,audio_features,3ezkJgagRPZ39KCTrKcSI7,spotify:track:3ezkJgagRPZ39KCTrKcSI7,https://api.spotify.com/v1/tracks/3ezkJgagRPZ39KCTrKcSI7,https://api.spotify.com/v1/audio-analysis/3ezkJgagRPZ39KCTrKcSI7,328747,4
Lenny Kravitz,Fly Away,0.597,0.868,7,-5.095,1,0.0526,0.0212,0,0.664,0.709,160.021,audio_features,0n0eMsX7WgEtc7dlscbuKU,spotify:track:0n0eMsX7WgEtc7dlscbuKU,https://api.spotify.com/v1/tracks/0n0eMsX7WgEtc7dlscbuKU,https://api.spotify.com/v1/audio-analysis/0n0eMsX7WgEtc7dlscbuKU,221893,4
2Pac,Changes,0.865,0.657,7,-6.722,1,0.076,0.0404,0,0.14,0.316,111.115,audio_features,00i2HU7TEzzftShjRrDSEF,spotify:track:00i2HU7TEzzftShjRrDSEF,https://api.spotify.com/v1/tracks/00i2HU7TEzzftShjRrDSEF,https://api.spotify.com/v1/audio-analysis/00i2HU7TEzzftShjRrDSEF,268960,4
Dr. Dre,Still D.R.E.,0.814,0.779,11,-3.271,1,0.235,0.175,0.000671,0.0605,0.544,93.43,audio_features,6ltPEsP4edATzvinHOzvk2,spotify:track:6ltPEsP4edATzvinHOzvk2,https://api.spotify.com/v1/tracks/6ltPEsP4edATzvinHOzvk2,https://api.spotify.com/v1/audio-analysis/6ltPEsP4edATzvinHOzvk2,268005,4
Flo Rida,Low (feat. T-Pain),0.918,0.609,10,-5.64,0,0.0791,0.0928,0,0.139,0.304,128.008,audio_features,0CAfXk7DXMnon4gLudAp7J,spotify:track:0CAfXk7DXMnon4gLudAp7J,https://api.spotify.com/v1/tracks/0CAfXk7DXMnon4gLudAp7J,https://api.spotify.com/v1/audio-analysis/0CAfXk7DXMnon4gLudAp7J,231400,4
Will Smith,Gettin' Jiggy Wit It,0.881,0.874,6,-4.505,1,0.139,0.0175,1.14e-06,0.154,0.858,107.891,audio_features,0weAUscowxeqDtpCgtbpgp,spotify:track:0weAUscowxeqDtpCgtbpgp,https://api.spotify.com/v1/tracks/0weAUscowxeqDtpCgtbpgp,https://api.spotify.com/v1/audio-analysis/0weAUscowxeqDtpCgtbpgp,227933,4
Justin Timberlake,Rock Your Body,0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972,audio_features,1AWQoqb9bSvzTjaLralEkT,spotify:track:1AWQoqb9bSvzTjaLralEkT,https://api.spotify.com/v1/tracks/1AWQoqb9bSvzTjaLralEkT,https://api.spotify.com/v1/audio-analysis/1AWQoqb9bSvzTjaLralEkT,267267,4
Ludacris,Rollout (My Business),0.921,0.668,7,-8.73,1,0.235,0.0949,0,0.592,0.892,131.059,audio_features,4SyadrABZJIjeND1HPJS31,spotify:track:4SyadrABZJIjeND1HPJS31,https://api.spotify.com/v1/tracks/4SyadrABZJIjeND1HPJS31,https://api.spotify.com/v1/audio-analysis/4SyadrABZJIjeND1HPJS31,296587,4
Vanilla Ice,Ice Ice Baby,0.979,0.792,2,-2.784,1,0.0388,0.0025,7.71e-06,0.102,0.583,116.012,audio_features,3XVozq1aeqsJwpXrEZrDJ9,spotify:track:3XVozq1aeqsJwpXrEZrDJ9,https://api.spotify.com/v1/tracks/3XVozq1aeqsJwpXrEZrDJ9,https://api.spotify.com/v1/audio-analysis/3XVozq1aeqsJwpXrEZrDJ9,254467,4
Maroon 5,Moves Like Jagger - Studio Recording From The Voice Performance,0.722,0.758,11,-4.477,0,0.0471,0.0111,0,0.308,0.62,128.047,audio_features,7LcfRTgAVTs5pQGEQgUEzN,spotify:track:7LcfRTgAVTs5pQGEQgUEzN,https://api.spotify.com/v1/tracks/7LcfRTgAVTs5pQGEQgUEzN,https://api.spotify.com/v1/audio-analysis/7LcfRTgAVTs5pQGEQgUEzN,201160,4
MC Hammer,U Can't Touch This,0.867,0.517,11,-13.222,0,0.0875,0.00456,0.000339,0.0864,0.866,133.148,audio_features,1B75hgRqe7A4fwee3g3Wmu,spotify:track:1B75hgRqe7A4fwee3g3Wmu,https://api.spotify.com/v1/tracks/1B75hgRqe7A4fwee3g3Wmu,https://api.spotify.com/v1/audio-analysis/1B75hgRqe7A4fwee3g3Wmu,257360,4
Snoop Dogg,Gin And Juice (feat. Dat Nigga Daz),0.549,0.853,7,-4.293,1,0.188,0.0285,0.000296,0.618,0.346,94.695,audio_features,0WKYRFtH6KKbaNWjsxqm70,spotify:track:0WKYRFtH6KKbaNWjsxqm70,https://api.spotify.com/v1/tracks/0WKYRFtH6KKbaNWjsxqm70,https://api.spotify.com/v1/audio-analysis/0WKYRFtH6KKbaNWjsxqm70,211493,4
