artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,popularity,result
Lenny Kravitz,American Woman,0.669,0.698,1.0,-7.971,1.0,0.0713,0.0243,0.0,0.0782,0.6,83.987,audio_features,2BdSaGVMxZzEeJYjjrlo6n,spotify:track:2BdSaGVMxZzEeJYjjrlo6n,https://api.spotify.com/v1/tracks/2BdSaGVMxZzEeJYjjrlo6n,https://api.spotify.com/v1/audio-analysis/2BdSaGVMxZzEeJYjjrlo6n,261707.0,4.0,"['permanent wave', 'pop rock', 'rock']",64.0,0.0
Kenny Loggins,Danger Zone,0.554,0.877,3.0,-7.655,0.0,0.0382,0.192,0.0,0.132,0.732,157.087,audio_features,1GYYqJlTVKrz6NUMbokAYm,spotify:track:1GYYqJlTVKrz6NUMbokAYm,https://api.spotify.com/v1/tracks/1GYYqJlTVKrz6NUMbokAYm,https://api.spotify.com/v1/audio-analysis/1GYYqJlTVKrz6NUMbokAYm,216133.0,4.0,"['album rock', 'classic rock', 'mellow gold', 'new wave pop', 'soft rock', 'yacht rock']",72.0,0.0
The Romantics,What I Like About You,0.514,0.942,9.0,-8.433,1.0,0.0502,0.282,6.6e-05,0.17,0.912,159.847,audio_features,4ebcE2SmkG7nplvzFAWRu7,spotify:track:4ebcE2SmkG7nplvzFAWRu7,https://api.spotify.com/v1/tracks/4ebcE2SmkG7nplvzFAWRu7,https://api.spotify.com/v1/audio-analysis/4ebcE2SmkG7nplvzFAWRu7,175267.0,4.0,"['album rock', 'classic rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'power pop', 'soft rock']",65.0,0.0
Avicii,The Nights,0.527,0.835,6.0,-5.298,1.0,0.0433,0.0166,0.0,0.249,0.654,125.983,audio_features,0ct6r3EGTcMLPtrXHDvVjc,spotify:track:0ct6r3EGTcMLPtrXHDvVjc,https://api.spotify.com/v1/tracks/0ct6r3EGTcMLPtrXHDvVjc,https://api.spotify.com/v1/audio-analysis/0ct6r3EGTcMLPtrXHDvVjc,176658.0,4.0,"['dance pop', 'edm', 'pop', 'pop dance']",86.0,0.0
Olly Murs,Troublemaker (feat. Flo Rida),0.762,0.857,0.0,-3.574,0.0,0.056,0.0195,0.0,0.182,0.967,105.989,audio_features,6MiqdbagcOqDMxhovDOIpF,spotify:track:6MiqdbagcOqDMxhovDOIpF,https://api.spotify.com/v1/tracks/6MiqdbagcOqDMxhovDOIpF,https://api.spotify.com/v1/audio-analysis/6MiqdbagcOqDMxhovDOIpF,186600.0,4.0,"['dance pop', 'europop', 'neo mellow', 'pop', 'pop dance', 'pop rock', 'post-teen pop', 'talent show', 'tropical house', 'uk pop']",75.0,0.0
September,Cry For You,0.773,0.88,9.0,-3.587,1.0,0.0307,0.00142,9.21e-05,0.0586,0.957,130.024,audio_features,5Xpnq4yeofsvWPSFC9rvuP,spotify:track:5Xpnq4yeofsvWPSFC9rvuP,https://api.spotify.com/v1/tracks/5Xpnq4yeofsvWPSFC9rvuP,https://api.spotify.com/v1/audio-analysis/5Xpnq4yeofsvWPSFC9rvuP,209800.0,4.0,"['dance pop', 'electropop', 'eurodance', 'europop', 'swedish electropop', 'swedish pop']",56.0,0.0
Maroon 5,Payphone,0.74,0.749,4.0,-4.83,1.0,0.0405,0.0195,0.0,0.282,0.522,110.007,audio_features,5FaD4vvtJ1LTj8nS2LndyU,spotify:track:5FaD4vvtJ1LTj8nS2LndyU,https://api.spotify.com/v1/tracks/5FaD4vvtJ1LTj8nS2LndyU,https://api.spotify.com/v1/audio-analysis/5FaD4vvtJ1LTj8nS2LndyU,231467.0,4.0,"['pop', 'pop rock']",75.0,0.0
Crazy Town,Butterfly,0.739,0.791,9.0,-4.796,0.0,0.0831,0.00144,0.000157,0.115,0.631,103.494,audio_features,1GakyY5lyvZGZXZYkk3FjS,spotify:track:1GakyY5lyvZGZXZYkk3FjS,https://api.spotify.com/v1/tracks/1GakyY5lyvZGZXZYkk3FjS,https://api.spotify.com/v1/audio-analysis/1GakyY5lyvZGZXZYkk3FjS,215800.0,4.0,"['alternative metal', 'funk metal', 'nu metal', 'rap rock']",79.0,0.0
blink-182,What's My Age Again?,0.398,0.954,6.0,-7.373,1.0,0.0715,0.0133,0.000218,0.0891,0.433,157.766,audio_features,1hWrl3T1kIH5b9zRHLfCOn,spotify:track:1hWrl3T1kIH5b9zRHLfCOn,https://api.spotify.com/v1/tracks/1hWrl3T1kIH5b9zRHLfCOn,https://api.spotify.com/v1/audio-analysis/1hWrl3T1kIH5b9zRHLfCOn,148573.0,4.0,"['pop punk', 'punk', 'rock', 'socal pop punk']",75.0,0.0
R.I.O.,Miss Sunshine - Radio Edit,0.681,0.924,6.0,-7.387,1.0,0.0621,0.0433,0.0,0.123,0.746,129.964,audio_features,4HnegxtkZmlj6qSJLY2et2,spotify:track:4HnegxtkZmlj6qSJLY2et2,https://api.spotify.com/v1/tracks/4HnegxtkZmlj6qSJLY2et2,https://api.spotify.com/v1/audio-analysis/4HnegxtkZmlj6qSJLY2et2,202997.0,4.0,"['dance pop', 'german dance', 'partyschlager', 'pop dance', 'pop house', 'pop rap']",8.0,0.0
R.I.O.,Summer Jam (feat. U-Jean) - Video Edit,0.747,0.716,1.0,-5.152,0.0,0.0308,0.0828,7.59e-06,0.0773,0.849,128.001,audio_features,3j8E3GsFWFwJJUq2Hhv1u7,spotify:track:3j8E3GsFWFwJJUq2Hhv1u7,https://api.spotify.com/v1/tracks/3j8E3GsFWFwJJUq2Hhv1u7,https://api.spotify.com/v1/audio-analysis/3j8E3GsFWFwJJUq2Hhv1u7,182657.0,4.0,"['dance pop', 'german dance', 'partyschlager', 'pop dance', 'pop house', 'pop rap']",8.0,0.0
David Guetta,Crank It Up (feat. Akon),0.725,0.879,11.0,-3.336,0.0,0.0551,0.0119,3.5e-05,0.367,0.638,128.03,audio_features,4PQA5I8Qf99He3SBKtl4Tf,spotify:track:4PQA5I8Qf99He3SBKtl4Tf,https://api.spotify.com/v1/tracks/4PQA5I8Qf99He3SBKtl4Tf,https://api.spotify.com/v1/audio-analysis/4PQA5I8Qf99He3SBKtl4Tf,192667.0,4.0,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",41.0,0.0
Flo Rida,Run (feat. RedFoo of LMFAO) - Bonus Track,0.78,0.693,7.0,-4.453,1.0,0.225,0.00102,0.0,0.111,0.629,129.951,audio_features,2GWpc4r9gvF9YLEWYJPzLA,spotify:track:2GWpc4r9gvF9YLEWYJPzLA,https://api.spotify.com/v1/tracks/2GWpc4r9gvF9YLEWYJPzLA,https://api.spotify.com/v1/audio-analysis/2GWpc4r9gvF9YLEWYJPzLA,232093.0,4.0,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",44.0,0.0
Far East Movement,Like A G6 - RedOne Remix,0.698,0.876,7.0,-4.115,1.0,0.0475,0.000151,0.000173,0.316,0.817,124.991,audio_features,2nOcG6Cv1gPq8NYiD41tk2,spotify:track:2nOcG6Cv1gPq8NYiD41tk2,https://api.spotify.com/v1/tracks/2nOcG6Cv1gPq8NYiD41tk2,https://api.spotify.com/v1/audio-analysis/2nOcG6Cv1gPq8NYiD41tk2,280560.0,4.0,"['asian american hip hop', 'dance pop', 'edm', 'pop rap']",41.0,0.0
Mac Miller,Loud,0.649,0.822,1.0,-5.8,1.0,0.0398,0.00258,3.83e-05,0.362,0.201,140.026,audio_features,5aQmsZCESbhasWW5VARdS8,spotify:track:5aQmsZCESbhasWW5VARdS8,https://api.spotify.com/v1/tracks/5aQmsZCESbhasWW5VARdS8,https://api.spotify.com/v1/audio-analysis/5aQmsZCESbhasWW5VARdS8,171149.0,4.0,"['hip hop', 'pittsburgh rap', 'rap']",70.0,0.0
Rihanna,Right Now - Ralphi Rosario Radio Edit,0.707,0.868,3.0,-3.648,0.0,0.0632,0.0194,8.05e-05,0.227,0.148,129.969,audio_features,3Qq7zFuBjiQFmQ8wz55CdJ,spotify:track:3Qq7zFuBjiQFmQ8wz55CdJ,https://api.spotify.com/v1/tracks/3Qq7zFuBjiQFmQ8wz55CdJ,https://api.spotify.com/v1/audio-analysis/3Qq7zFuBjiQFmQ8wz55CdJ,228307.0,4.0,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",16.0,0.0
DJ Khaled,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",0.549,0.791,10.0,-3.535,1.0,0.133,0.0104,0.0,0.444,0.292,150.093,audio_features,6u5M4jPpYkoRV4vVHDQvkd,spotify:track:6u5M4jPpYkoRV4vVHDQvkd,https://api.spotify.com/v1/tracks/6u5M4jPpYkoRV4vVHDQvkd,https://api.spotify.com/v1/audio-analysis/6u5M4jPpYkoRV4vVHDQvkd,227293.0,4.0,"['hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",70.0,0.0
DJ Snake,Turn Down for What,0.818,0.799,1.0,-4.1,0.0,0.156,0.00107,0.128,0.057,0.0815,100.014,audio_features,67awxiNHNyjMXhVgsHuIrs,spotify:track:67awxiNHNyjMXhVgsHuIrs,https://api.spotify.com/v1/tracks/67awxiNHNyjMXhVgsHuIrs,https://api.spotify.com/v1/audio-analysis/67awxiNHNyjMXhVgsHuIrs,213733.0,4.0,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",72.0,0.0
Jeremih,Don't Tell 'Em,0.854,0.537,2.0,-5.223,1.0,0.0761,0.547,1.19e-06,0.133,0.341,98.037,audio_features,5rph5sObvxskRcb1JLV70r,spotify:track:5rph5sObvxskRcb1JLV70r,https://api.spotify.com/v1/tracks/5rph5sObvxskRcb1JLV70r,https://api.spotify.com/v1/audio-analysis/5rph5sObvxskRcb1JLV70r,268453.0,4.0,"['chicago rap', 'dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",75.0,0.0
deadmau5,Ghosts 'n' Stuff (feat. Rob Swire),0.611,0.613,8.0,-6.942,1.0,0.129,4.73e-05,0.105,0.159,0.491,127.979,audio_features,3ezkJgagRPZ39KCTrKcSI7,spotify:track:3ezkJgagRPZ39KCTrKcSI7,https://api.spotify.com/v1/tracks/3ezkJgagRPZ39KCTrKcSI7,https://api.spotify.com/v1/audio-analysis/3ezkJgagRPZ39KCTrKcSI7,328747.0,4.0,"['canadian electronic', 'edm', 'electro house', 'pop dance', 'progressive house']",61.0,0.0
Lenny Kravitz,Fly Away,0.597,0.868,7.0,-5.095,1.0,0.0526,0.0212,0.0,0.664,0.709,160.021,audio_features,0n0eMsX7WgEtc7dlscbuKU,spotify:track:0n0eMsX7WgEtc7dlscbuKU,https://api.spotify.com/v1/tracks/0n0eMsX7WgEtc7dlscbuKU,https://api.spotify.com/v1/audio-analysis/0n0eMsX7WgEtc7dlscbuKU,221893.0,4.0,"['permanent wave', 'pop rock', 'rock']",75.0,0.0
2Pac,Changes,0.865,0.657,7.0,-6.722,1.0,0.076,0.0404,0.0,0.14,0.316,111.115,audio_features,00i2HU7TEzzftShjRrDSEF,spotify:track:00i2HU7TEzzftShjRrDSEF,https://api.spotify.com/v1/tracks/00i2HU7TEzzftShjRrDSEF,https://api.spotify.com/v1/audio-analysis/00i2HU7TEzzftShjRrDSEF,268960.0,4.0,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",81.0,0.0
Dr. Dre,Still D.R.E.,0.814,0.779,11.0,-3.271,1.0,0.235,0.175,0.000671,0.0605,0.544,93.43,audio_features,6ltPEsP4edATzvinHOzvk2,spotify:track:6ltPEsP4edATzvinHOzvk2,https://api.spotify.com/v1/tracks/6ltPEsP4edATzvinHOzvk2,https://api.spotify.com/v1/audio-analysis/6ltPEsP4edATzvinHOzvk2,268005.0,4.0,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",81.0,0.0
Flo Rida,Low (feat. T-Pain),0.918,0.609,10.0,-5.64,0.0,0.0791,0.0928,0.0,0.139,0.304,128.008,audio_features,0CAfXk7DXMnon4gLudAp7J,spotify:track:0CAfXk7DXMnon4gLudAp7J,https://api.spotify.com/v1/tracks/0CAfXk7DXMnon4gLudAp7J,https://api.spotify.com/v1/audio-analysis/0CAfXk7DXMnon4gLudAp7J,231400.0,4.0,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",82.0,0.0
Will Smith,Gettin' Jiggy Wit It,0.881,0.874,6.0,-4.505,1.0,0.139,0.0175,1.14e-06,0.154,0.858,107.891,audio_features,0weAUscowxeqDtpCgtbpgp,spotify:track:0weAUscowxeqDtpCgtbpgp,https://api.spotify.com/v1/tracks/0weAUscowxeqDtpCgtbpgp,https://api.spotify.com/v1/audio-analysis/0weAUscowxeqDtpCgtbpgp,227933.0,4.0,"['hip hop', 'pop rap']",71.0,0.0
Justin Timberlake,Rock Your Body,0.892,0.714,4.0,-6.055,0.0,0.141,0.201,0.000234,0.0521,0.817,100.972,audio_features,1AWQoqb9bSvzTjaLralEkT,spotify:track:1AWQoqb9bSvzTjaLralEkT,https://api.spotify.com/v1/tracks/1AWQoqb9bSvzTjaLralEkT,https://api.spotify.com/v1/audio-analysis/1AWQoqb9bSvzTjaLralEkT,267267.0,4.0,"['dance pop', 'pop']",75.0,0.0
Ludacris,Rollout (My Business),0.921,0.668,7.0,-8.73,1.0,0.235,0.0949,0.0,0.592,0.892,131.059,audio_features,4SyadrABZJIjeND1HPJS31,spotify:track:4SyadrABZJIjeND1HPJS31,https://api.spotify.com/v1/tracks/4SyadrABZJIjeND1HPJS31,https://api.spotify.com/v1/audio-analysis/4SyadrABZJIjeND1HPJS31,296587.0,4.0,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",61.0,0.0
Vanilla Ice,Ice Ice Baby,0.979,0.792,2.0,-2.784,1.0,0.0388,0.0025,7.71e-06,0.102,0.583,116.012,audio_features,3XVozq1aeqsJwpXrEZrDJ9,spotify:track:3XVozq1aeqsJwpXrEZrDJ9,https://api.spotify.com/v1/tracks/3XVozq1aeqsJwpXrEZrDJ9,https://api.spotify.com/v1/audio-analysis/3XVozq1aeqsJwpXrEZrDJ9,254467.0,4.0,"['hip house', 'miami hip hop']",71.0,0.0
Maroon 5,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",0.722,0.758,11.0,-4.477,0.0,0.0471,0.0111,0.0,0.308,0.62,128.047,audio_features,7LcfRTgAVTs5pQGEQgUEzN,spotify:track:7LcfRTgAVTs5pQGEQgUEzN,https://api.spotify.com/v1/tracks/7LcfRTgAVTs5pQGEQgUEzN,https://api.spotify.com/v1/audio-analysis/7LcfRTgAVTs5pQGEQgUEzN,201160.0,4.0,"['pop', 'pop rock']",69.0,0.0
MC Hammer,U Can't Touch This,0.867,0.517,11.0,-13.222,0.0,0.0875,0.00456,0.000339,0.0864,0.866,133.148,audio_features,1B75hgRqe7A4fwee3g3Wmu,spotify:track:1B75hgRqe7A4fwee3g3Wmu,https://api.spotify.com/v1/tracks/1B75hgRqe7A4fwee3g3Wmu,https://api.spotify.com/v1/audio-analysis/1B75hgRqe7A4fwee3g3Wmu,257360.0,4.0,"['hip hop', 'hip house', 'new jack swing', 'rap']",75.0,0.0
Snoop Dogg,Gin And Juice (feat. Dat Nigga Daz),0.549,0.853,7.0,-4.293,1.0,0.188,0.0285,0.000296,0.618,0.346,94.695,audio_features,0WKYRFtH6KKbaNWjsxqm70,spotify:track:0WKYRFtH6KKbaNWjsxqm70,https://api.spotify.com/v1/tracks/0WKYRFtH6KKbaNWjsxqm70,https://api.spotify.com/v1/audio-analysis/0WKYRFtH6KKbaNWjsxqm70,211493.0,4.0,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",42.0,0.0
Fat Joe,What's Luv? (feat. Ja-Rule & Ashanti),0.835,0.707,8.0,-5.074,1.0,0.0598,0.0219,2.19e-05,0.108,0.919,93.955,audio_features,2mKouqwAIdQnMP43zxR89r,spotify:track:2mKouqwAIdQnMP43zxR89r,https://api.spotify.com/v1/tracks/2mKouqwAIdQnMP43zxR89r,https://api.spotify.com/v1/audio-analysis/2mKouqwAIdQnMP43zxR89r,267093.0,4.0,"['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'trap']",73.0,0.0
Stevie Wonder,Superstition,0.648,0.751,8.0,-8.582,1.0,0.0806,0.0182,0.000401,0.0418,0.863,100.437,audio_features,4dwrL3Z5U2RZ6MZiKE2PgL,spotify:track:4dwrL3Z5U2RZ6MZiKE2PgL,https://api.spotify.com/v1/tracks/4dwrL3Z5U2RZ6MZiKE2PgL,https://api.spotify.com/v1/audio-analysis/4dwrL3Z5U2RZ6MZiKE2PgL,244827.0,4.0,"['funk', 'motown', 'quiet storm', 'soul']",73.0,0.0
Michael Jackson,Billie Jean,0.92,0.654,11.0,-3.051,0.0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,audio_features,5ChkMS8OtdzJeqyybCc9R5,spotify:track:5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/tracks/5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/audio-analysis/5ChkMS8OtdzJeqyybCc9R5,293827.0,4.0,"['pop', 'r&b', 'soul']",84.0,0.0
Outkast,Hey Ya!,0.715,0.97,0.0,-2.206,1.0,0.0648,0.0644,0.000156,0.205,0.963,79.504,audio_features,3AszgPDZd9q0DpDFt4HFBy,spotify:track:3AszgPDZd9q0DpDFt4HFBy,https://api.spotify.com/v1/tracks/3AszgPDZd9q0DpDFt4HFBy,https://api.spotify.com/v1/audio-analysis/3AszgPDZd9q0DpDFt4HFBy,239240.0,4.0,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",81.0,0.0
Kris Kross,Jump,0.749,0.745,2.0,-10.625,1.0,0.164,0.000501,0.00403,0.333,0.481,101.972,audio_features,27AHAtAirQapVldIm4c9ZX,spotify:track:27AHAtAirQapVldIm4c9ZX,https://api.spotify.com/v1/tracks/27AHAtAirQapVldIm4c9ZX,https://api.spotify.com/v1/audio-analysis/27AHAtAirQapVldIm4c9ZX,195107.0,4.0,"['hip hop', 'new jack swing', 'rap']",78.0,0.0
House Of Pain,Jump Around,0.854,0.71,4.0,-6.32,0.0,0.0793,0.0113,8.72e-05,0.166,0.818,106.894,audio_features,2oTDOIAdsxPTE7yAp4YOcv,spotify:track:2oTDOIAdsxPTE7yAp4YOcv,https://api.spotify.com/v1/tracks/2oTDOIAdsxPTE7yAp4YOcv,https://api.spotify.com/v1/audio-analysis/2oTDOIAdsxPTE7yAp4YOcv,214947.0,4.0,"['gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'west coast rap']",74.0,0.0
Chingy,One Call Away,0.765,0.821,4.0,-5.926,0.0,0.183,0.0918,0.0,0.217,0.962,162.519,audio_features,0UNTBB02C1aB55Fu4H63qd,spotify:track:0UNTBB02C1aB55Fu4H63qd,https://api.spotify.com/v1/tracks/0UNTBB02C1aB55Fu4H63qd,https://api.spotify.com/v1/audio-analysis/0UNTBB02C1aB55Fu4H63qd,276800.0,4.0,"['crunk', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'rap', 'southern hip hop', 'urban contemporary']",66.0,0.0
Bell Biv DeVoe,Poison,0.87,0.48,6.0,-11.551,0.0,0.212,0.00177,0.0668,0.61,0.615,112.448,audio_features,0OlG5jpER4X3IWqvZr9KXx,spotify:track:0OlG5jpER4X3IWqvZr9KXx,https://api.spotify.com/v1/tracks/0OlG5jpER4X3IWqvZr9KXx,https://api.spotify.com/v1/audio-analysis/0OlG5jpER4X3IWqvZr9KXx,262827.0,4.0,"['boy band', 'funk', 'hip hop', 'hip pop', 'new jack swing', 'quiet storm', 'r&b', 'rap', 'urban contemporary']",71.0,0.0
Cassidy,Hotel (feat. R. Kelly),0.676,0.652,0.0,-6.846,1.0,0.204,0.103,0.0,0.113,0.416,91.231,audio_features,0B1J7lh3ej57Nk09UYNlrj,spotify:track:0B1J7lh3ej57Nk09UYNlrj,https://api.spotify.com/v1/tracks/0B1J7lh3ej57Nk09UYNlrj,https://api.spotify.com/v1/audio-analysis/0B1J7lh3ej57Nk09UYNlrj,247040.0,4.0,"['battle rap', 'hip pop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",54.0,0.0
Nelly,Dilemma,0.73,0.552,2.0,-8.177,0.0,0.146,0.18,6.14e-05,0.224,0.613,168.091,audio_features,4nthV2eZAXnt4yiJMocLkG,spotify:track:4nthV2eZAXnt4yiJMocLkG,https://api.spotify.com/v1/tracks/4nthV2eZAXnt4yiJMocLkG,https://api.spotify.com/v1/audio-analysis/4nthV2eZAXnt4yiJMocLkG,289173.0,4.0,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'st louis rap', 'urban contemporary']",78.0,0.0
K7,Come Baby Come,0.832,0.726,11.0,-7.739,0.0,0.191,0.0283,0.0,0.0468,0.548,106.118,audio_features,21RBQHOqgMuyyFvjbbXqfe,spotify:track:21RBQHOqgMuyyFvjbbXqfe,https://api.spotify.com/v1/tracks/21RBQHOqgMuyyFvjbbXqfe,https://api.spotify.com/v1/audio-analysis/21RBQHOqgMuyyFvjbbXqfe,239733.0,4.0,"['freestyle', 'hip house']",55.0,0.0
Luniz,I Got 5 On It (feat. Michael Marshall),0.586,0.705,10.0,-7.906,0.0,0.352,0.213,0.0,0.122,0.568,174.091,audio_features,5PC07vOtMYMmGOn4TYlc0n,spotify:track:5PC07vOtMYMmGOn4TYlc0n,https://api.spotify.com/v1/tracks/5PC07vOtMYMmGOn4TYlc0n,https://api.spotify.com/v1/audio-analysis/5PC07vOtMYMmGOn4TYlc0n,253453.0,4.0,"['g funk', 'gangster rap', 'hyphy', 'oakland hip hop', 'west coast rap']",10.0,0.0
Montell Jordan,This Is How We Do It,0.775,0.613,0.0,-9.831,1.0,0.145,0.0413,0.0,0.5,0.789,103.65,audio_features,1yRBHnXfl6wjCnM6dYRXq0,spotify:track:1yRBHnXfl6wjCnM6dYRXq0,https://api.spotify.com/v1/tracks/1yRBHnXfl6wjCnM6dYRXq0,https://api.spotify.com/v1/audio-analysis/1yRBHnXfl6wjCnM6dYRXq0,277014.0,4.0,"['hip hop', 'hip pop', 'new jack swing', 'pop rap', 'quiet storm', 'r&b', 'urban contemporary']",67.0,0.0
Ja Rule,Always On Time,0.835,0.675,5.0,-4.568,0.0,0.18,0.0979,0.0,0.611,0.807,96.717,audio_features,6lWC7NxTRKgsrHLyydrfKN,spotify:track:6lWC7NxTRKgsrHLyydrfKN,https://api.spotify.com/v1/tracks/6lWC7NxTRKgsrHLyydrfKN,https://api.spotify.com/v1/audio-analysis/6lWC7NxTRKgsrHLyydrfKN,242893.0,4.0,"['dance pop', 'east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap', 'urban contemporary']",74.0,0.0
Bone Thugs-N-Harmony,Tha Crossroads,0.684,0.434,4.0,-9.791,1.0,0.0618,0.0824,0.0,0.256,0.555,144.273,audio_features,0UUSebzzrC8hKiVcX8fBsz,spotify:track:0UUSebzzrC8hKiVcX8fBsz,https://api.spotify.com/v1/tracks/0UUSebzzrC8hKiVcX8fBsz,https://api.spotify.com/v1/audio-analysis/0UUSebzzrC8hKiVcX8fBsz,222667.0,4.0,"['gangster rap', 'hip hop', 'ohio hip hop', 'pop rap', 'rap', 'southern hip hop']",67.0,0.0
Color Me Badd,I Wanna Sex You Up - Single Mix,0.551,0.591,6.0,-8.404,0.0,0.12,0.00549,6.55e-06,0.0416,0.474,201.81,audio_features,26yPacO528yccLPMwVminp,spotify:track:26yPacO528yccLPMwVminp,https://api.spotify.com/v1/tracks/26yPacO528yccLPMwVminp,https://api.spotify.com/v1/audio-analysis/26yPacO528yccLPMwVminp,236947.0,4.0,"['boy band', 'new jack swing', 'r&b', 'urban contemporary']",62.0,0.0
Pearl Jam,Even Flow,0.406,0.889,10.0,-9.264,0.0,0.0542,0.00619,4.18e-06,0.323,0.286,104.952,audio_features,7vPnlEkCGmYx2Eier8YBwc,spotify:track:7vPnlEkCGmYx2Eier8YBwc,https://api.spotify.com/v1/tracks/7vPnlEkCGmYx2Eier8YBwc,https://api.spotify.com/v1/audio-analysis/7vPnlEkCGmYx2Eier8YBwc,293667.0,4.0,"['grunge', 'permanent wave', 'rock']",75.0,0.0
Captain Hollywood Project,More and More - Single Version,0.658,0.839,7.0,-11.827,1.0,0.0343,0.223,0.86,0.0965,0.681,125.866,audio_features,6jwlBPt6FlhIlHAdEN1JME,spotify:track:6jwlBPt6FlhIlHAdEN1JME,https://api.spotify.com/v1/tracks/6jwlBPt6FlhIlHAdEN1JME,https://api.spotify.com/v1/audio-analysis/6jwlBPt6FlhIlHAdEN1JME,251133.0,4.0,"['bubblegum dance', 'diva house', 'eurodance', 'europop', 'german techno', 'hip house']",60.0,0.0
Do Or Die,Po Pimp,0.81,0.428,0.0,-14.248,1.0,0.272,0.0623,0.0,0.116,0.649,142.075,audio_features,66AMCAjrOk7c957i3ej06f,spotify:track:66AMCAjrOk7c957i3ej06f,https://api.spotify.com/v1/tracks/66AMCAjrOk7c957i3ej06f,https://api.spotify.com/v1/audio-analysis/66AMCAjrOk7c957i3ej06f,234827.0,4.0,"['chicago rap', 'gangster rap', 'houston rap', 'southern hip hop', 'trap']",54.0,0.0
EMF,Unbelievable,0.663,0.799,1.0,-7.478,1.0,0.0387,9.55e-05,0.0613,0.0947,0.937,103.954,audio_features,1GkRtFi1i90d3QngEVQTDY,spotify:track:1GkRtFi1i90d3QngEVQTDY,https://api.spotify.com/v1/tracks/1GkRtFi1i90d3QngEVQTDY,https://api.spotify.com/v1/audio-analysis/1GkRtFi1i90d3QngEVQTDY,209773.0,4.0,"['britpop', 'dance rock', 'grebo', 'indietronica', 'madchester']",55.0,0.0
The Notorious B.I.G.,Big Poppa - 2005 Remaster,0.78,0.575,9.0,-7.247,0.0,0.273,0.43,0.0,0.143,0.773,84.492,audio_features,2g8HN35AnVGIk7B8yMucww,spotify:track:2g8HN35AnVGIk7B8yMucww,https://api.spotify.com/v1/tracks/2g8HN35AnVGIk7B8yMucww,https://api.spotify.com/v1/audio-analysis/2g8HN35AnVGIk7B8yMucww,252747.0,4.0,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",77.0,0.0
Sublime,Santeria,0.673,0.772,1.0,-5.246,0.0,0.0427,0.0223,1.23e-06,0.141,0.585,90.356,audio_features,6cJqlSO19vsfCsH1FeFI35,spotify:track:6cJqlSO19vsfCsH1FeFI35,https://api.spotify.com/v1/tracks/6cJqlSO19vsfCsH1FeFI35,https://api.spotify.com/v1/audio-analysis/6cJqlSO19vsfCsH1FeFI35,183200.0,4.0,"['reggae fusion', 'ska mexicano', 'ska punk']",77.0,0.0
Naughty By Nature,Hip Hop Hooray,0.869,0.826,6.0,-6.996,0.0,0.101,0.0482,2.42e-06,0.326,0.721,99.143,audio_features,3fwUpUntnrvggfHhvyQq6D,spotify:track:3fwUpUntnrvggfHhvyQq6D,https://api.spotify.com/v1/tracks/3fwUpUntnrvggfHhvyQq6D,https://api.spotify.com/v1/audio-analysis/3fwUpUntnrvggfHhvyQq6D,264840.0,4.0,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'new jersey rap', 'pop rap', 'rap']",66.0,0.0
