artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,popularity,result
Blu Cantrell,Breathe (feat. Sean Paul) - Rap Version,0.8,0.663,2.0,-3.832,1.0,0.0324,0.048,0.0,0.252,0.472,91.934,audio_features,1BPybPVkDfUjFDvqG04l58,spotify:track:1BPybPVkDfUjFDvqG04l58,https://api.spotify.com/v1/tracks/1BPybPVkDfUjFDvqG04l58,https://api.spotify.com/v1/audio-analysis/1BPybPVkDfUjFDvqG04l58,228000.0,4.0,"['hip pop', 'r&b', 'urban contemporary']",49.0,0.0
will.i.am,Scream & Shout,0.79,0.616,0.0,-7.443,1.0,0.0596,0.0589,6.55e-05,0.171,0.473,130.009,audio_features,7n6ibfsRHhCb1Ccl9Fg2CZ,spotify:track:7n6ibfsRHhCb1Ccl9Fg2CZ,https://api.spotify.com/v1/tracks/7n6ibfsRHhCb1Ccl9Fg2CZ,https://api.spotify.com/v1/audio-analysis/7n6ibfsRHhCb1Ccl9Fg2CZ,284413.0,4.0,"['dance pop', 'pop', 'pop rap']",78.0,0.0
50 Cent,21 Questions,0.646,0.813,6.0,-3.846,0.0,0.299,0.349,9.37e-05,0.0427,0.895,92.729,audio_features,70FCugJxa7XW04Np6iYJdI,spotify:track:70FCugJxa7XW04Np6iYJdI,https://api.spotify.com/v1/tracks/70FCugJxa7XW04Np6iYJdI,https://api.spotify.com/v1/audio-analysis/70FCugJxa7XW04Np6iYJdI,224440.0,4.0,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",71.0,0.0
Destiny's Child,Say My Name,0.713,0.678,5.0,-3.525,0.0,0.102,0.273,0.0,0.149,0.734,138.009,audio_features,7H6ev70Weq6DdpZyyTmUXk,spotify:track:7H6ev70Weq6DdpZyyTmUXk,https://api.spotify.com/v1/tracks/7H6ev70Weq6DdpZyyTmUXk,https://api.spotify.com/v1/audio-analysis/7H6ev70Weq6DdpZyyTmUXk,271333.0,4.0,"['dance pop', 'girl group', 'hip pop', 'pop', 'r&b', 'urban contemporary']",76.0,0.0
Jennifer Lopez,Get Right,0.741,0.759,0.0,-5.096,0.0,0.117,0.0215,0.0,0.628,0.363,97.083,audio_features,6BUZX2MNhJs0p13ezYtOLp,spotify:track:6BUZX2MNhJs0p13ezYtOLp,https://api.spotify.com/v1/tracks/6BUZX2MNhJs0p13ezYtOLp,https://api.spotify.com/v1/audio-analysis/6BUZX2MNhJs0p13ezYtOLp,225533.0,4.0,"['dance pop', 'pop', 'pop rap', 'urban contemporary']",58.0,0.0
Snoop Dogg,Beautiful,0.893,0.74,11.0,-4.936,0.0,0.132,0.299,0.0,0.0881,0.963,101.025,audio_features,4675yUu8AUbE72T94BkLCD,spotify:track:4675yUu8AUbE72T94BkLCD,https://api.spotify.com/v1/tracks/4675yUu8AUbE72T94BkLCD,https://api.spotify.com/v1/audio-analysis/4675yUu8AUbE72T94BkLCD,299147.0,4.0,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",86.0,0.0
Thalia,I Want You,0.803,0.773,0.0,-3.628,1.0,0.121,0.0107,0.0,0.0632,0.708,91.915,audio_features,1HCPjfa02m5JwcO37LHfYb,spotify:track:1HCPjfa02m5JwcO37LHfYb,https://api.spotify.com/v1/tracks/1HCPjfa02m5JwcO37LHfYb,https://api.spotify.com/v1/audio-analysis/1HCPjfa02m5JwcO37LHfYb,226027.0,4.0,"['dance pop', 'latin', 'latin pop', 'mexican pop']",72.0,0.0
Mariah Carey,It's Like That,0.8,0.639,8.0,-4.861,0.0,0.053,0.0691,0.0,0.0328,0.832,95.946,audio_features,0LfaaczDrahgWQA8FH7AJw,spotify:track:0LfaaczDrahgWQA8FH7AJw,https://api.spotify.com/v1/tracks/0LfaaczDrahgWQA8FH7AJw,https://api.spotify.com/v1/audio-analysis/0LfaaczDrahgWQA8FH7AJw,203440.0,4.0,"['dance pop', 'pop', 'r&b', 'urban contemporary']",56.0,0.0
50 Cent,Candy Shop,0.612,0.577,11.0,-8.01,1.0,0.458,0.0237,6.22e-05,0.381,0.745,128.422,audio_features,0h5m65o5KnMFB4Gq47mbKt,spotify:track:0h5m65o5KnMFB4Gq47mbKt,https://api.spotify.com/v1/tracks/0h5m65o5KnMFB4Gq47mbKt,https://api.spotify.com/v1/audio-analysis/0h5m65o5KnMFB4Gq47mbKt,208533.0,5.0,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",79.0,0.0
Beyoncé,Naughty Girl,0.588,0.461,6.0,-8.686,0.0,0.161,0.237,1.54e-05,0.0913,0.659,200.053,audio_features,0YGQ3hZcRLC5YX7o0hdmHg,spotify:track:0YGQ3hZcRLC5YX7o0hdmHg,https://api.spotify.com/v1/tracks/0YGQ3hZcRLC5YX7o0hdmHg,https://api.spotify.com/v1/audio-analysis/0YGQ3hZcRLC5YX7o0hdmHg,208573.0,4.0,"['dance pop', 'pop', 'r&b']",62.0,0.0
Gwen Stefani,Hollaback Girl,0.926,0.916,10.0,-2.221,0.0,0.0929,0.35,6.17e-06,0.0234,0.904,110.007,audio_features,0eqH0ALoDQevq59YcQ53KE,spotify:track:0eqH0ALoDQevq59YcQ53KE,https://api.spotify.com/v1/tracks/0eqH0ALoDQevq59YcQ53KE,https://api.spotify.com/v1/audio-analysis/0eqH0ALoDQevq59YcQ53KE,199853.0,4.0,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'urban contemporary']",69.0,0.0
M.I.A.,Bucky Done Gun,0.881,0.791,8.0,-6.248,0.0,0.121,0.0669,0.0031,0.05,0.505,128.006,audio_features,6p9E23TJLagAm3hNF6za5S,spotify:track:6p9E23TJLagAm3hNF6za5S,https://api.spotify.com/v1/tracks/6p9E23TJLagAm3hNF6za5S,https://api.spotify.com/v1/audio-analysis/6p9E23TJLagAm3hNF6za5S,225560.0,4.0,"['dance pop', 'escape room', 'indietronica', 'new rave']",45.0,0.0
Modjo,Chillin',0.58,0.89,6.0,-5.559,1.0,0.036,6.54e-05,0.000446,0.0518,0.909,124.971,audio_features,1vV2Cis8njdHOs3gkqjDSZ,spotify:track:1vV2Cis8njdHOs3gkqjDSZ,https://api.spotify.com/v1/tracks/1vV2Cis8njdHOs3gkqjDSZ,https://api.spotify.com/v1/audio-analysis/1vV2Cis8njdHOs3gkqjDSZ,293732.0,4.0,"['disco house', 'filter house', 'vocal house']",65.0,0.0
Modjo,Music Takes You Back,0.765,0.788,0.0,-6.256,0.0,0.0828,0.000623,0.763,0.131,0.585,125.478,audio_features,4YSJKeIepFZB1XXhF0zvjc,spotify:track:4YSJKeIepFZB1XXhF0zvjc,https://api.spotify.com/v1/tracks/4YSJKeIepFZB1XXhF0zvjc,https://api.spotify.com/v1/audio-analysis/4YSJKeIepFZB1XXhF0zvjc,254119.0,4.0,"['disco house', 'filter house', 'vocal house']",45.0,0.0
Modjo,What I Mean,0.667,0.686,4.0,-5.19,0.0,0.0402,0.0385,3.3e-06,0.0529,0.597,91.974,audio_features,4RAva1IFioAamVLlKEqs07,spotify:track:4RAva1IFioAamVLlKEqs07,https://api.spotify.com/v1/tracks/4RAva1IFioAamVLlKEqs07,https://api.spotify.com/v1/audio-analysis/4RAva1IFioAamVLlKEqs07,251844.0,4.0,"['disco house', 'filter house', 'vocal house']",38.0,0.0
Modjo,Rollercoaster,0.718,0.736,1.0,-6.121,0.0,0.0577,0.00021,0.893,0.0392,0.864,126.324,audio_features,1h6X8h9UYVFg5NnUtOzr8R,spotify:track:1h6X8h9UYVFg5NnUtOzr8R,https://api.spotify.com/v1/tracks/1h6X8h9UYVFg5NnUtOzr8R,https://api.spotify.com/v1/audio-analysis/1h6X8h9UYVFg5NnUtOzr8R,251867.0,4.0,"['disco house', 'filter house', 'vocal house']",66.0,0.0
Freemasons,Believer - Radio Edit,0.662,0.881,5.0,-4.202,0.0,0.0357,0.0202,0.000825,0.132,0.732,126.986,audio_features,1yI5Ki6tliQYyMrJ3X770O,spotify:track:1yI5Ki6tliQYyMrJ3X770O,https://api.spotify.com/v1/tracks/1yI5Ki6tliQYyMrJ3X770O,https://api.spotify.com/v1/audio-analysis/1yI5Ki6tliQYyMrJ3X770O,189388.0,4.0,"['dance pop', 'disco house', 'diva house', 'tribal house', 'vocal house']",60.0,0.0
R3HAB,Freak,0.679,0.867,11.0,-3.867,0.0,0.219,0.18,0.0,0.667,0.597,125.988,audio_features,3YZCgdWOQcsPYLQ1pGxAfd,spotify:track:3YZCgdWOQcsPYLQ1pGxAfd,https://api.spotify.com/v1/tracks/3YZCgdWOQcsPYLQ1pGxAfd,https://api.spotify.com/v1/audio-analysis/3YZCgdWOQcsPYLQ1pGxAfd,160476.0,4.0,"['dance pop', 'dutch house', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house', 'slap house', 'tropical house']",89.0,0.0
R3HAB,Strong,0.448,0.856,5.0,-3.162,0.0,0.0537,0.0211,2e-05,0.2,0.511,127.977,audio_features,3ActcmE8M7DpBHQiRFSx5G,spotify:track:3ActcmE8M7DpBHQiRFSx5G,https://api.spotify.com/v1/tracks/3ActcmE8M7DpBHQiRFSx5G,https://api.spotify.com/v1/audio-analysis/3ActcmE8M7DpBHQiRFSx5G,169102.0,4.0,"['dance pop', 'dutch house', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house', 'slap house', 'tropical house']",81.0,0.0
X Ambassadors,Renegades - Stash Konig Remix,0.661,0.701,7.0,-5.922,1.0,0.125,0.000543,0.0,0.66,0.767,128.007,audio_features,3d5cyqi0eI9unwe1UKTAeP,spotify:track:3d5cyqi0eI9unwe1UKTAeP,https://api.spotify.com/v1/tracks/3d5cyqi0eI9unwe1UKTAeP,https://api.spotify.com/v1/audio-analysis/3d5cyqi0eI9unwe1UKTAeP,248200.0,4.0,"['modern alternative rock', 'modern rock', 'pop', 'pop rap', 'pop rock', 'rock', 'stomp pop']",47.0,0.0
