artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
mommy,thinking of you,0.797,0.0832,11,-12.673,1,0.203,0.484,0.81,0.239,0.51,160.048,audio_features,2pZi2b9U8r20AF0Cf3hi2D,spotify:track:2pZi2b9U8r20AF0Cf3hi2D,https://api.spotify.com/v1/tracks/2pZi2b9U8r20AF0Cf3hi2D,https://api.spotify.com/v1/audio-analysis/2pZi2b9U8r20AF0Cf3hi2D,131000,4
C Y G N,Body N Soul,0.375,0.357,11,-16.214,1,0.324,0.885,0.708,0.11,0.117,82.067,audio_features,0EwCdSBRwKOyKfggMGXUXx,spotify:track:0EwCdSBRwKOyKfggMGXUXx,https://api.spotify.com/v1/tracks/0EwCdSBRwKOyKfggMGXUXx,https://api.spotify.com/v1/audio-analysis/0EwCdSBRwKOyKfggMGXUXx,251500,4
Otesla,East,0.443,0.566,7,-6.783,0,0.259,0.431,0.219,0.224,0.349,82.77,audio_features,2oGHqZTDPtMl1bMz5WQ2hE,spotify:track:2oGHqZTDPtMl1bMz5WQ2hE,https://api.spotify.com/v1/tracks/2oGHqZTDPtMl1bMz5WQ2hE,https://api.spotify.com/v1/audio-analysis/2oGHqZTDPtMl1bMz5WQ2hE,126665,4
Dotlights,Life Inside A Nightmare Rectangle,0.607,0.327,11,-15.188,0,0.0322,0.281,0.9,0.112,0.181,118.002,audio_features,6TooH1kbPxD4wiHjDFB0Ze,spotify:track:6TooH1kbPxD4wiHjDFB0Ze,https://api.spotify.com/v1/tracks/6TooH1kbPxD4wiHjDFB0Ze,https://api.spotify.com/v1/audio-analysis/6TooH1kbPxD4wiHjDFB0Ze,162562,4
fantompower,Things Work Out Eventually,0.58,0.196,2,-18.069,1,0.0567,0.879,0.858,0.697,0.096,80.065,audio_features,0qXN5XHAYlRoy6tBxiJ9bJ,spotify:track:0qXN5XHAYlRoy6tBxiJ9bJ,https://api.spotify.com/v1/tracks/0qXN5XHAYlRoy6tBxiJ9bJ,https://api.spotify.com/v1/audio-analysis/0qXN5XHAYlRoy6tBxiJ9bJ,140000,4
Smoke Trees,Winter Lights,0.749,0.15,4,-18.684,1,0.0707,0.824,0.864,0.0725,0.132,77.991,audio_features,6kUhfT6FCZIsQDYhfyEyHx,spotify:track:6kUhfT6FCZIsQDYhfyEyHx,https://api.spotify.com/v1/tracks/6kUhfT6FCZIsQDYhfyEyHx,https://api.spotify.com/v1/audio-analysis/6kUhfT6FCZIsQDYhfyEyHx,160000,4
Sugi.wa,Almost Home,0.382,0.0682,4,-19.178,1,0.062,0.874,0.915,0.0801,0.34,84.451,audio_features,3pGNBm0zULLn7K9Vvxjjz1,spotify:track:3pGNBm0zULLn7K9Vvxjjz1,https://api.spotify.com/v1/tracks/3pGNBm0zULLn7K9Vvxjjz1,https://api.spotify.com/v1/audio-analysis/3pGNBm0zULLn7K9Vvxjjz1,169187,4
Juan Rios,perenne,0.431,0.466,8,-9.208,1,0.0368,0.647,0.0503,0.3,0.643,80.013,audio_features,4bLUcDbIu1asxk2y3eadDR,spotify:track:4bLUcDbIu1asxk2y3eadDR,https://api.spotify.com/v1/tracks/4bLUcDbIu1asxk2y3eadDR,https://api.spotify.com/v1/audio-analysis/4bLUcDbIu1asxk2y3eadDR,150086,4
B-Side,Trust,0.571,0.291,9,-9.669,0,0.0732,0.134,0.667,0.123,0.374,80.976,audio_features,3RTpLlu6v3VScNFLw0Zm7Q,spotify:track:3RTpLlu6v3VScNFLw0Zm7Q,https://api.spotify.com/v1/tracks/3RTpLlu6v3VScNFLw0Zm7Q,https://api.spotify.com/v1/audio-analysis/3RTpLlu6v3VScNFLw0Zm7Q,142253,4
Hanz,Crossroads,0.44,0.291,5,-17.171,0,0.0473,0.812,0.831,0.898,0.0783,170.085,audio_features,66z8EZXSd2VKGHlHX9DZSx,spotify:track:66z8EZXSd2VKGHlHX9DZSx,https://api.spotify.com/v1/tracks/66z8EZXSd2VKGHlHX9DZSx,https://api.spotify.com/v1/audio-analysis/66z8EZXSd2VKGHlHX9DZSx,154000,4
Monma,Brazil,0.677,0.596,8,-7.808,1,0.0499,0.684,0.159,0.31,0.718,80.006,audio_features,3KS3tCvMtzsxNVp8yyIbga,spotify:track:3KS3tCvMtzsxNVp8yyIbga,https://api.spotify.com/v1/tracks/3KS3tCvMtzsxNVp8yyIbga,https://api.spotify.com/v1/audio-analysis/3KS3tCvMtzsxNVp8yyIbga,255062,4
sadtoi,Love Affair in Kyoto,0.718,0.158,9,-15.604,0,0.0696,0.841,0.707,0.379,0.327,124.041,audio_features,7d30ER0FyjCXujvHUhcotK,spotify:track:7d30ER0FyjCXujvHUhcotK,https://api.spotify.com/v1/tracks/7d30ER0FyjCXujvHUhcotK,https://api.spotify.com/v1/audio-analysis/7d30ER0FyjCXujvHUhcotK,184000,4
mommy,everything you say,0.679,0.276,11,-19.497,0,0.0567,0.489,0.869,0.354,0.302,141.956,audio_features,3rRitPKQigBGhEL7lXW84l,spotify:track:3rRitPKQigBGhEL7lXW84l,https://api.spotify.com/v1/tracks/3rRitPKQigBGhEL7lXW84l,https://api.spotify.com/v1/audio-analysis/3rRitPKQigBGhEL7lXW84l,158500,4
fantompower,blankets,0.61,0.147,7,-17.832,0,0.041,0.936,0.956,0.111,0.117,79.954,audio_features,0uNKf8j4cNI1DLWpps877e,spotify:track:0uNKf8j4cNI1DLWpps877e,https://api.spotify.com/v1/tracks/0uNKf8j4cNI1DLWpps877e,https://api.spotify.com/v1/audio-analysis/0uNKf8j4cNI1DLWpps877e,174000,4
Ian Ewing,seltzy,0.659,0.327,9,-11.931,0,0.288,0.28,0.767,0.187,0.279,175.895,audio_features,18oZLowJ696z4LEjYWyjpB,spotify:track:18oZLowJ696z4LEjYWyjpB,https://api.spotify.com/v1/tracks/18oZLowJ696z4LEjYWyjpB,https://api.spotify.com/v1/audio-analysis/18oZLowJ696z4LEjYWyjpB,206000,4
mommy,polarbeer,0.714,0.117,0,-12.523,1,0.149,0.311,0.434,0.287,0.523,78.035,audio_features,0aFeteSHWKioy7zaHEPRp4,spotify:track:0aFeteSHWKioy7zaHEPRp4,https://api.spotify.com/v1/tracks/0aFeteSHWKioy7zaHEPRp4,https://api.spotify.com/v1/audio-analysis/0aFeteSHWKioy7zaHEPRp4,166000,4
Dontcry,Viaduct,0.796,0.296,10,-13.487,0,0.0547,0.657,0.829,0.0955,0.26,75.071,audio_features,1rGKp8cGN87ZGUegwweG89,spotify:track:1rGKp8cGN87ZGUegwweG89,https://api.spotify.com/v1/tracks/1rGKp8cGN87ZGUegwweG89,https://api.spotify.com/v1/audio-analysis/1rGKp8cGN87ZGUegwweG89,131250,4
Ruck P,Gratitude,0.633,0.356,11,-14.611,1,0.0785,0.653,0.863,0.106,0.435,177.998,audio_features,6zmsyR2mDOGehJ3AqzVYdn,spotify:track:6zmsyR2mDOGehJ3AqzVYdn,https://api.spotify.com/v1/tracks/6zmsyR2mDOGehJ3AqzVYdn,https://api.spotify.com/v1/audio-analysis/6zmsyR2mDOGehJ3AqzVYdn,173000,4
Tesk,burn my mind,0.745,0.17,4,-10.703,0,0.0838,0.257,0.865,0.108,0.192,78.179,audio_features,57AShUoadecZLoy8U1ADDH,spotify:track:57AShUoadecZLoy8U1ADDH,https://api.spotify.com/v1/tracks/57AShUoadecZLoy8U1ADDH,https://api.spotify.com/v1/audio-analysis/57AShUoadecZLoy8U1ADDH,150778,4
